Fruit,Temp(Celcius),Humidity(%),MQ135,MQ3,Time
 spoiled and fresh,16.2,66.6,0,1188,4/6/2026 13:26
 spoiled and fresh,16.2,67.8,0,1217,4/6/2026 13:28
 spoiled and fresh,16.2,68.2,0,1157,4/6/2026 13:30
 spoiled and fresh,16.3,67.3,0,1309,4/6/2026 13:45
 spoiled and fresh,16.3,67.5,0,1337,4/6/2026 13:51
 spoiled and fresh,16.4,69.7,0,1296,4/6/2026 14:01
 spoiled and fresh,16.8,71.4,0,1015,4/6/2026 14:11
 spoiled and fresh,16.7,64,0,1088,4/6/2026 14:21
 spoiled and fresh,16.2,59.8,0,1298,4/6/2026 14:32
 spoiled and fresh,16.2,76.5,0,1139,4/6/2026 14:42
 spoiled and fresh,15.4,63,0,1485,4/6/2026 14:52
 spoiled and fresh,14.7,59,0,1118,4/6/2026 15:02
 spoiled and fresh,13.9,57.3,0,1136,4/6/2026 15:12
 spoiled and fresh,13.7,63.5,0,1217,4/6/2026 15:22
 spoiled and fresh,22.9,99.9,0,912,4/6/2026 15:32
 spoiled and fresh,27.3,74.2,0,1831,4/6/2026 15:40
 spoiled and fresh,27.5,74.3,18,1805,4/6/2026 15:41
 spoiled and fresh,27.6,73.8,1,1893,4/6/2026 15:41
 spoiled and fresh,27.8,73.3,0,1907,4/6/2026 15:42
 spoiled and fresh,27.9,73.2,0,1904,4/6/2026 15:42
 spoiled and fresh,27.9,73,0,1878,4/6/2026 15:43
 spoiled and fresh,28,72.8,13,1913,4/6/2026 15:43
 spoiled and fresh,28.1,72.4,0,1936,4/6/2026 15:44
 spoiled and fresh,28.2,71.9,22,2018,4/6/2026 15:44
 spoiled and fresh,28.3,71.6,3,2022,4/6/2026 15:45
 spoiled and fresh,28.4,71.4,13,2055,4/6/2026 15:45
 spoiled and fresh,28.5,71,0,2118,4/6/2026 15:46
 spoiled and fresh,28.5,70.9,0,2076,4/6/2026 15:46
 spoiled and fresh,28.6,70.5,1,2107,4/6/2026 15:47
 spoiled and fresh,28.7,70.4,0,2145,4/6/2026 15:47
 spoiled and fresh,28.8,70.1,4,2170,4/6/2026 15:48
 spoiled and fresh,28.8,69.9,0,2239,4/6/2026 15:48
 spoiled and fresh,28.9,69.9,11,2191,4/6/2026 15:49
 spoiled and fresh,28.9,69.7,0,2204,4/6/2026 15:49
 spoiled and fresh,29,69.5,0,2247,4/6/2026 15:50
 spoiled and fresh,29,69.5,0,2206,4/6/2026 15:50
 spoiled and fresh,29,69.4,0,2192,4/6/2026 15:51
 spoiled and fresh,29.1,69.4,0,2231,4/6/2026 15:51
 spoiled and fresh,29.2,69.2,0,2288,4/6/2026 15:52
 spoiled and fresh,29.3,69.1,14,2375,4/6/2026 15:52
 spoiled and fresh,29.3,69.2,23,2343,4/6/2026 15:53
 spoiled and fresh,29.3,69,35,2374,4/6/2026 15:53
 spoiled and fresh,29.4,68.9,17,2339,4/6/2026 15:54
 spoiled and fresh,29.4,69,0,2378,4/6/2026 15:54
 spoiled and fresh,29.5,68.8,0,2355,4/6/2026 15:55
 spoiled and fresh,29.5,68.7,31,2373,4/6/2026 15:55
 spoiled and fresh,29.6,68.5,9,2386,4/6/2026 15:56
 spoiled and fresh,29.6,68.5,0,2400,4/6/2026 15:56
 spoiled and fresh,29.7,68.4,0,2431,4/6/2026 15:57
 spoiled and fresh,29.7,68.6,0,2432,4/6/2026 15:57
 spoiled and fresh,29.8,68.5,26,2368,4/6/2026 15:58
 spoiled and fresh,29.8,68.5,10,2400,4/6/2026 15:58
 spoiled and fresh,29.8,68.4,0,2412,4/6/2026 15:59
 spoiled and fresh,29.8,68.3,37,2455,4/6/2026 15:59
 spoiled and fresh,29.9,68.3,0,2449,4/6/2026 16:00
